anio,cantidad
14-Feb,1
14-Oct,5
14-Sep,3
14-Oct,5
14-Nov,5
14-Dec,6
15-Jan,2
15-Feb,2
15-Mar,6
15-Apr,3
15-May,6
15-Jun,4
15-Jul,7
15-Aug,5
15-Sep,5
15-Oct,4
15-Nov,5
15-Dec,7
16-Jan,7
16-Feb,7
16-Mar,6
16-May,8
16-Jun,6
16-Jul,3
16-Aug,4
16-Sep,8
16-Oct,6
16-Nov,7
16-Dec,4
17-Jan,15
17-Feb,10
17-Mar,9
17-Apr,5
17-May,7
17-Jun,10
17-Jul,8
17-Aug,9
17-Sep,5
17-Oct,4
17-Nov,6
17-Dec,12
18-Jan,8
18-Feb,6
18-Mar,6
18-Apr,7
18-May,8
18-Jun,6
18-Jul,3
18-Aug,4
18-Sep,4
18-Oct,5
18-Nov,3
18-Dec,6
19-Jan,3
19-Feb,5
19-Mar,7
19-Apr,6
19-May,6
19-Jun,8
19-Jul,3
19-Aug,2
19-Sep,6
19-Oct,8
19-Nov,4
19-Dec,4
20-Jan,3
20-Feb,4
20-Mar,1
20-Apr,5
20-May,9
20-Jun,4
20-Jul,6
20-Aug,9
20-Sep,7
20-Oct,5
20-Nov,15
20-Dec,5
21-Jan,4
21-Feb,7
21-Mar,6
21-Apr,9
21-May,8
21-Jun,5
21-Jul,4
21-Aug,3
21-Sep,5
21-Oct,6
21-Nov,5
21-Dec,8
22-Jan,3
22-Feb,11
22-Mar,9
22-Apr,5
22-May,10
22-Jun,9
22-Jul,4
